,text,emotion_text2emotion,"('sentiment', 'cat')"
0," Today, we put ourselves in the shoes of Cynthia Carro. Imagine you've become CEO of one of",Surprise,"('Neutral', 0.0)"
1," the world's largest mining companies, Anglo-American. $25 billion in sales, 162,000 employees, two",Surprise,"('Neutral', 0.0)"
2," thirds of them in South Africa, and four months into your job, you hear the news, one of the miners in",Fear,"('Neutral', 0.0)"
3, Rustinburg has lost his life. Get another fatally. You have to decide are you going to shut down the,Fear,"('negative', -0.15555555555555559)"
4," mine or continue business as usual. David, if you can open for us today, your Cynthia Carro, the news",Fear,"('negative', -0.125)"
5, comes to you. Do you shut down the mine in Rustinburg? Yes or no? What are you going to do?,Angry,"('negative', -0.15555555555555559)"
6, So I think she needs to initiate very detailed investigations into what happened in these,Surprise,"('Positive', 0.52)"
7, circumstances and then what has happened throughout the past. Are you going to shut down or not,Sad,"('negative', -0.20277777777777778)"
8, shut down? So I'm going to do a detailed investigation. What are you learning? What are you learning?,Surprise,"('Positive', 0.12222222222222222)"
9, What are you learning in this investigation? Practices that are not being followed correctly or out,Surprise,"('Neutral', 0.0)"
10, of line or could be safer for there's like people are dying it's not safe. What evidence are you,Fear,"('negative', -0.25)"
11, looking for? When you get the opportunity to participate you need to be able to,Happy,"('Positive', 0.5)"
12, compact the information that you're going to present in a very concise and clear manner.,Sad,"('Positive', 0.07666666666666667)"
13, Through participation in class every day this is something that I am trying to sharpen.,Surprise,"('Neutral', 0.0)"
14," I want to get in on this. It's dynamic, it's fast-paced, there's a ton of energy. Everyone's",Surprise,"('Neutral', 0.0)"
15, really excited to jump in and contribute. I learn a lot from my peers as much as I learn from,Sad,"('Positive', 0.2875)"
16, the faculty if not more. The professor kind of facilitates like a orchestra they kind of direct,Happy,"('Positive', 0.2625)"
17, the music but they're not necessary playing it. I think we need to shut it down. Minor deaths,Fear,"('negative', -0.06851851851851853)"
18, are accepted as just a part of the process of mining. Shutting down the operation,Angry,"('negative', -0.15555555555555559)"
19, will signal a very strong mentality shift that deaths aren't going to be tolerated.,Happy,"('Positive', 0.5633333333333334)"
20," That's called a bold stroke by the way. What Grant is talking about, what",Fear,"('Positive', 0.3333333333333333)"
21," is OSAS talking about, Robert is talking about is a bold stroke which means from this day forward",Happy,"('Positive', 0.3333333333333333)"
22, something has shifted but those of you who disagree say what? Those of you disagree say what will?,Surprise,"('Neutral', 0.0)"
23, I think we do much more if we improve the culture around safety and the entire organization.,Fear,"('Positive', 0.25)"
24, There's some truth that we're trying to work toward. The debates become more and more fun,Happy,"('Positive', 0.43333333333333335)"
25, because that's when you get to uncover views that you hadn't thought of and when you get to,Surprise,"('Neutral', 0.0)"
26, push your own thinking and hopefully make your own thinking much much better. If you allow,Sad,"('Positive', 0.5666666666666667)"
27, your perspective to be constructively challenged by other people then it is just fascinating how,Fear,"('Positive', 0.2875)"
28, you know your position and your perspective can shift. Those of you who want to shut down how,Angry,"('negative', -0.15555555555555559)"
29, do you respond to this? Layla. We shut down the plant because we had safety issues and we made,Sad,"('negative', -0.15555555555555559)"
30, a stand and we started making a safety culture like we had a safety culture. The fact that we can have,Fear,"('Neutral', 0.0)"
31, difficult uncomfortable conversations we can talk about race we can talk about politics and still,Fear,"('negative', -0.5)"
32, be friends at the end of the day and to have people who are not from a specific group but still have,Happy,"('Neutral', 0.0)"
33, sympathy and empathy is pretty unique. Beyond cultural and beyond structural we also talk about,Happy,"('Positive', 0.24166666666666667)"
34," the people, the organization, the overseers are generally white and workers are generally black.",Fear,"('negative', -0.08333333333333333)"
35, The language within the community is called an agola and it's largely a command of control language.,Surprise,"('Positive', 0.21428571428571427)"
36," So you're saying some structural, you're saying some linguistic communication barriers,",Fear,"('Positive', 0.1)"
37, you're saying some organization cultural issues around the entire organization.,Fear,"('Positive', 0.05)"
38, I think the case of it that also gives you humility. Your perspective is not enough to figure out,Sad,"('Neutral', 0.0)"
39, the answer to a question and actually gives you the ability to ask other people what their,Fear,"('negative', -0.0625)"
40, perspective is. So it's 27 countries represented in our section of 94 people and because of the way,Surprise,"('Neutral', 0.0)"
41, that the case method is structured we can sort of get underneath what are those differences really,Fear,"('Positive', 0.2)"
42, tied to. You know are there cultural things about where you come from that makes the business,Surprise,"('Positive', 0.1)"
43, world operate slightly differently and are there things that we can learn from those differences?,Surprise,"('Neutral', 0.0)"
44, I think consumers are critical here so not only do they care about having high quality,Fear,"('Positive', 0.05333333333333334)"
45, inputs to their supply chains on time but they will also care about safety in the first month or,Fear,"('Positive', 0.25)"
46, couple weeks of class I was hesitant to participate but over time I've gotten rid of all of my barriers,Surprise,"('Neutral', 0.0)"
47, and don't really have any qualms about participating but a lot of that is because of the support,Sad,"('Positive', 0.2)"
48, of my classmates and not only do I see it changing in myself but I see my classmates making,Sad,"('Neutral', 0.0)"
49, better points over time which then also again pushes me to be better.,Surprise,"('Positive', 0.5)"
50, They colder analysis is so so important when we think about change. So important to do. We think,Happy,"('Positive', 0.4)"
51, about who do we need to worry about and what do they care about what are their interests and so,Sad,"('Neutral', 0.0)"
52, you start there but that's not enough. You have to then say where do I need to invest the most,Surprise,"('Positive', 0.25)"
53, time? Who is in this zone? The board. I'm really worried about the managers. I think the government's,Sad,"('Positive', 0.2)"
54, also a key here because being in the case setting you realize how valuable everyone else around you,Sad,"('Neutral', 0.0)"
55, is and how valuable their opinions are and the importance of being a really good active listener.,Surprise,"('Positive', 0.2833333333333333)"
56, So before we shift from this and think about some action planning I just want to show them,Fear,"('Positive', 0.1)"
57, hand because it's not clear to me in this room how many of you are shutting down?,Sad,"('Positive', 0.09814814814814814)"
58, Really? And how many of you are not shutting down? So most of you are not shutting down.,Angry,"('Positive', 0.17777777777777776)"
59, Wow. So are we going to resolve this now or are there points that we need to make?,Surprise,"('Positive', 0.1)"
60, I don't know if I think this is a performance gap. I don't know if this is about best practices to,Sad,"('Positive', 1.0)"
61, me. This is about culture. If all these like if all these miners were like white and not black I think,Fear,"('Positive', 0.041666666666666664)"
62, that death rates would look very very differently because I think people would consider the value of,Sad,"('Neutral', 0.0)"
63, the lives of the people in the mind very differently. The question we have to ask is is this company,Surprise,"('Neutral', 0.0)"
64, extracting more value from the community than it's providing? It's scary to be vulnerable in a,Sad,"('negative', -0.16666666666666666)"
65, working world so you're oftentimes taught to put up a shield but here you're given an environment,Fear,"('Neutral', 0.0)"
66, that supports you to take those risks and actually celebrates failures or celebrates diversity,Sad,"('Neutral', 0.0)"
67, of thought when you don't agree with someone. Jumping into the arena using your brain to come to,Surprise,"('Neutral', 0.0)"
68, the best hypothesis and conclusion that you can given the data that you have is a task that,Surprise,"('Positive', 1.0)"
69, leaders have to do every day. How do you use limited information to make a decision and do that,Surprise,"('negative', -0.07142857142857142)"
70, in a way that forces you to flex that muscle of dealing with ambiguity. They don't get it Jake.,Fear,"('Neutral', 0.0)"
71," Yeah, drag me a back up from the front lines to see your position. One of the things that I was",Surprise,"('negative', -0.05)"
72, thinking about is not just all of these different elements that we should be considering,Surprise,"('Neutral', 0.0)"
73, use of safety but also the leadership capability of Cynthia herself. You reliably took positions at,Fear,"('Neutral', 0.0)"
74, your previous company. They were incredibly unpopular and encountered all sorts of resistance,Sad,"('Positive', 0.3666666666666667)"
75, and I think this is a case where you shown that you could do it and so I would shut down.,Angry,"('negative', -0.15555555555555559)"
76, This situation is different don't you think? Is she suited for this job? Can she do this?,Fear,"('Neutral', 0.0)"
77, I think that's an incredibly challenging question.,Fear,"('Positive', 0.5)"
78," That's what we do, Jake. This is what we do. This is what we do.",Surprise,"('Neutral', 0.0)"
79," We push students to take a position or to take a stand because it forces students to think deeply,",Fear,"('Neutral', 0.0)"
80," to think about risks, to think about the weaknesses in their ideas and to also be open to",Happy,"('Neutral', 0.0)"
81, influence. I want them to set high standards for themselves. I want them to be challenged.,Fear,"('Positive', 0.16)"
82, I want them to challenge others. So what initially brought me here was that I wanted to compliment,Sad,"('Neutral', 0.0)"
83, these skills that I developed in architecture and consulting with business skills.,Fear,"('Positive', 0.1)"
84," But once I got here, those priorities completely changed. What inspires me now is really",Happy,"('Positive', 0.15000000000000002)"
85, the having super engaged in discussions with my peers. I don't think that I've ever been that,Sad,"('Positive', 0.3333333333333333)"
86, intellectually stimulated on a day-to-day basis because I am here and I think for me that's inspiring,Happy,"('Positive', 0.4)"
87, and it just wakes me up every day with excitement. I think I recognized that I wasn't pushing myself,Happy,"('Neutral', 0.0)"
88, to think differently or to lead differently. I wasn't going to do anything extraordinary and I,Happy,"('Positive', 0.1111111111111111)"
89," thought maybe if I came here, I would be pushed in a way that would lead me to develop into someone",Fear,"('Neutral', 0.0)"
90," who could change something. At HBS, there's just no one here who wants to come out the same way",Surprise,"('Positive', 0.1)"
91," they came in and that's really exciting. 30 years ago, Cynthia Carroll, 30 years ago,",Sad,"('Positive', 0.3)"
92," was actually in your seats and these exact same seats and because of her,",Surprise,"('Positive', 0.08333333333333333)"
93," thousands and thousands of miners in the world, I paid better, much safer, and are leading",Surprise,"('Positive', 0.35)"
94," better lives with much more dignity. One day, not only that could be you, I know that one day it will be you.",Happy,"('Positive', 0.3333333333333333)"
